Dates;Flow_Rate_L_Andelle_a_Vascoeuil;Flow_Rate_L_Austreberthe_a_Saint_Paer;Flow_Rate_L_Elure_a_Cailly_sur_Eure;Flow_Rate_L_Epte_a_Fourges;Flow_Rate_L_Eure_a_Louviers;Flow_Rate_La_Durdent_a_Vittefleur;Flow_Rate_La_Ganzeville_a_Ganzeville;Flow_Rate_La_Saane_a_Val_de_Saane;Flow_Rate_Le_Cailly_a_Notre_Dame_de_Bondeville_x;Flow_Rate_Le_Cailly_a_Fontaine_le_Bourg__Grand_Tendos;Flow_Rate_Le_Cailly_a_Notre_Dame_de_Bondeville_y;Flow_Rate_Le_Commerce_a_Gruchet_le_Valasse;Flow_Rate_La_Seine_a_Alfortville;Flow_Rate_La_Risle_A_Pont_Authou;Surface_Water_Level_L_Andelle_a_Vascoeuil;Surface_Water_Level_L_Austreberthe_a_Saint_Paer;Surface_Water_Level_L_Elure_a_Cailly_sur_Eure;Surface_Water_Level_L_Epte_a_Fourges;Surface_Water_Level_L_Eure_a_Louviers;Surface_Water_Level_La_Durdent_a_Vittefleur;Surface_Water_Level_La_Ganzeville_a_Ganzeville;Surface_Water_Level_La_Saane_a_Val_de_Saane;Surface_Water_Level_Le_Cailly_a_Notre_Dame_de_Bondeville;Surface_Water_Level_Le_Cailly_a_Fontaine_le_Bourg__Grand_Tendos;Surface_Water_Level_Le_Commerce_a_Gruchet_le_Valasse;Surface_Water_Level_La_Seine_A_Alfortville;Surface_Water_Level_La_Risle_A_Pont_Authou;Water_Level_Caudebec;Water_Level_Tancarville;Water_Level_Duclair;Water_Level_Honfleur;Water_Level_Rouen;Rainfall_Dieppe;Rainfall_Octeville;Rainfall_Rouen;Temperature_Dieppe;Temperature_Octeville;Temperature_Rouen;Cote_NGF_BSS000EPAR;Cote_NGF_BSS000FGNF;Cote_NGF_BSS000FHCQ;Cote_NGF_BSS000FLDL;Cote_NGF_BSS000FLJZ;Cote_NGF_BSS000FLMB;Cote_NGF_BSS000GTXB;Cote_NGF_BSS000MRWS;Tide (m)
14/01/2000;6.53;2.63;33.5;15.5;38.0;5.81;1.05;0.675;4.08;1.15;4.08;0.255;510.0;16.0;0.7;0.39;1.24;1.23;0.54;0.43;0.62;0.12;0.57;0.4;0.1;0.61;0.5;7.04;7.06;7.53;6.96;7.89;0.0;0.2;0.4;2.2;2.8;2.2;146.12;57.68;33.59;73.23;102.42;125.81;54.5;130.68;4.729
15/01/2000;6.35;2.58;31.6;15.4;35.2;5.19;1.04;0.689;4.0;1.21;4.0;0.231;484.0;15.1;0.69;0.38;1.2;1.22;0.47;0.38;0.62;0.12;0.57;0.41;0.1;0.61;0.48;6.66;6.7;7.22;6.57;7.5;0.0;0.2;0.0;1.6;1.4;1.9;146.12;57.75;33.62;73.21;102.42;125.87;54.48;130.65;4.595
16/01/2000;6.16;2.59;30.8;15.0;33.9;5.21;1.04;0.624;3.96;1.12;3.96;0.221;448.0;15.0;0.68;0.38;1.18;1.21;0.44;0.38;0.62;0.11;0.57;0.4;0.09;0.61;0.47;6.68;6.78;7.15;6.62;7.47;0.2;0.0;0.0;0.3;-0.6;1.7;146.12;57.8;33.62;73.16;102.43;125.92;54.47;130.63;4.599
17/01/2000;6.1;2.57;29.2;14.6;32.6;4.94;1.15;0.622;3.96;1.11;3.96;0.249;448.0;14.9;0.68;0.38;1.14;1.19;0.41;0.36;0.63;0.11;0.57;0.4;0.1;0.61;0.47;6.9;7.01;7.36;6.93;7.66;0.0;0.0;0.0;4.8;2.3;4.1;146.12;57.77;33.66;73.14;102.44;126.01;54.47;130.65;4.687
18/01/2000;6.06;2.55;28.2;14.2;33.2;5.04;1.08;0.628;3.92;1.08;3.92;0.249;440.0;16.1;0.67;0.38;1.12;1.18;0.43;0.37;0.63;0.11;0.56;0.4;0.1;0.61;0.5;7.15;7.28;7.49;7.18;7.78;0.0;0.0;0.0;5.2;4.6;5.8;146.12;57.52;33.67;73.13;102.44;126.08;54.47;130.69;4.708
19/01/2000;5.99;2.59;28.0;14.0;33.2;4.61;0.989;0.648;3.92;1.07;3.92;0.247;423.0;15.6;0.67;0.38;1.11;1.17;0.42;0.33;0.62;0.12;0.56;0.4;0.1;0.61;0.49;7.38;7.5;7.73;7.43;8.06;0.6;0.2;0.6;5.1;3.8;4.6;146.12;57.52;33.65;73.13;102.45;126.19;54.47;130.71;4.683
20/01/2000;5.92;2.54;26.1;13.8;31.2;5.23;0.958;0.623;3.87;1.07;3.87;0.247;421.0;15.7;0.66;0.38;1.07;1.17;0.38;0.38;0.61;0.11;0.56;0.39;0.1;0.61;0.49;7.63;7.88;8.03;7.86;8.39;0.0;0.0;0.0;-0.1;3.0;3.3;146.12;57.53;33.66;73.12;102.46;126.22;54.47;130.71;4.735
21/01/2000;5.88;2.52;25.7;13.6;30.1;5.05;0.954;0.623;3.86;1.04;3.86;0.237;405.0;15.6;0.66;0.38;1.06;1.16;0.35;0.37;0.61;0.11;0.56;0.39;0.1;0.61;0.49;7.84;8.06;8.22;7.99;8.57;0.4;0.0;0.0;5.7;4.3;4.1;146.06;57.48;33.67;73.09;102.45;126.27;54.47;130.73;4.815
22/01/2000;6.13;3.04;25.0;13.5;30.3;5.09;0.981;0.648;3.98;1.1;3.98;0.368;402.0;15.9;0.67;0.43;1.04;1.16;0.36;0.37;0.62;0.12;0.57;0.4;0.13;0.61;0.49;8.42;8.59;8.68;8.38;9.06;2.2;1.0;6.2;4.9;3.9;4.1;146.03;57.43;33.7;73.05;102.44;126.32;54.47;130.77;4.946
23/01/2000;6.21;2.65;25.1;14.0;30.3;5.35;0.953;0.617;3.87;1.06;3.87;0.224;399.0;15.8;0.68;0.39;1.04;1.17;0.36;0.39;0.61;0.11;0.56;0.39;0.09;0.61;0.49;8.14;8.3;8.38;8.22;8.77;0.2;0.4;0.8;4.5;3.6;3.1;145.99;57.37;33.72;73.04;102.43;126.36;54.48;130.8;4.865
24/01/2000;6.04;2.71;24.8;14.0;30.0;5.01;1.01;0.634;3.89;1.02;3.89;0.352;387.0;15.2;0.67;0.4;1.04;1.17;0.35;0.37;0.62;0.11;0.56;0.39;0.13;0.61;0.48;8.252140045166017;8.15;8.29;8.1;8.62;0.0;0.2;0.0;1.2;0.1;0.7;145.96;57.37;33.73;73.02;102.42;126.41;54.48;130.8;4.788
25/01/2000;5.88;2.47;24.3;13.9;27.9;4.63;0.966;0.605;3.78;1.0;3.78;0.247;387.0;14.9;0.66;0.37;1.03;1.17;0.3;0.34;0.62;0.11;0.55;0.39;0.1;0.61;0.47;7.887691497802733;8.213312149047852;8.159521102905272;8.028073310852049;8.62391471862793;0.0;0.0;0.0;-4.4;-4.2;-2.8;145.9;57.41;33.73;73.0;102.42;126.45;54.48;130.8;4.74
26/01/2000;5.75;2.46;24.0;13.3;27.7;4.64;0.938;0.6;3.74;0.996;3.74;0.247;368.0;14.4;0.65;0.37;1.02;1.15;0.3;0.34;0.61;0.11;0.55;0.39;0.1;0.61;0.46;7.34;7.42;7.59;7.45;7.98;0.2;0.0;0.0;-5.3;-4.5;-3.0;145.87;57.45;33.7;72.99;102.41;126.5;54.48;130.8;4.713
27/01/2000;5.7;2.48;23.5;12.8;27.0;4.54;0.94;0.594;3.71;0.991;3.71;0.239;368.0;15.0;0.65;0.37;1.0;1.13;0.28;0.33;0.62;0.11;0.55;0.39;0.1;0.61;0.47;7.13;7.33;7.54;7.19;7.84;0.0;0.0;0.0;-5.4;-6.0;-2.8;145.81;57.46;33.7;72.97;102.4;126.54;54.48;130.8;4.763
28/01/2000;5.54;2.48;23.1;12.7;26.4;4.43;1.32;0.6;3.78;1.04;3.78;0.242;339.0;15.0;0.64;0.37;0.99;1.13;0.27;0.32;0.66;0.11;0.55;0.39;0.1;0.61;0.47;6.97;7.249383449554443;7.39;7.0;7.65;3.0;1.4;2.8;-2.6;-2.1;0.1;145.78;57.39;33.7;72.96;102.39;126.59;54.5;130.83;4.918
29/01/2000;6.08;2.85;22.4;13.2;26.9;4.77;1.01;0.611;3.88;1.07;3.88;0.692;317.0;15.5;0.67;0.41;0.97;1.15;0.28;0.35;0.62;0.11;0.56;0.39;0.21;0.61;0.48;7.07;6.972301483154297;7.43;7.05;7.71;0.0;0.4;3.0;5.5;5.2;8.3;145.74;57.25;33.7;72.99;102.39;126.63;54.51;130.89;5.172
30/01/2000;6.2;2.68;22.6;14.5;27.0;4.98;1.01;0.623;3.93;1.08;3.93;0.252;320.0;15.3;0.67;0.39;0.98;1.19;0.28;0.36;0.63;0.11;0.56;0.4;0.1;0.61;0.48;7.03;6.77260160446167;7.37;6.94;7.67;2.2;0.0;2.2;10.0;8.7;9.9;145.71;57.3;33.7;73.0;102.39;126.68;54.51;130.88;5.025
31/01/2000;6.2;2.49;22.7;14.5;26.7;5.1;0.997;0.611;3.9;1.09;3.9;0.249;313.0;15.2;0.67;0.37;0.98;1.19;0.27;0.37;0.62;0.11;0.56;0.4;0.1;0.61;0.48;6.6;6.882664680480957;7.071057796478272;6.61;7.27;0.0;0.0;0.0;9.6;8.3;9.3;145.67;57.37;33.66;73.0;102.39;126.72;54.5;130.85;4.91
01/02/2000;5.78;2.59;22.8;14.4;27.377777777777776;4.92;1.03;0.6;3.82;1.09;3.82;0.247;347.0;15.3;0.65;0.38;0.98;1.19;0.28611111111111115;0.36;0.63;0.11;0.56;0.4;0.1;0.61;0.48;6.68;6.89;7.248570919036865;6.73;7.21;0.0;0.4;0.0;8.9;8.8;8.4;145.62;57.36;33.63;73.0;102.39;126.77;54.5;130.87;4.908
02/02/2000;5.78;2.79;23.1;14.0;28.055555555555554;5.21;1.01;0.6;3.95;1.09;3.95;0.486;361.0;14.5;0.65;0.41;0.98;1.17;0.3022222222222222;0.38;0.63;0.11;0.57;0.4;0.16;0.61;0.46;7.09;7.37;7.310688495635986;7.19;7.77;2.0;1.0;1.4;6.9;6.6;5.4;145.58;57.3;33.62;73.0;102.39;126.81;54.51;130.9;4.907
03/02/2000;5.74;2.59;23.5;13.7;28.733333333333334;4.85;1.01;0.605;3.78;1.07;3.78;0.252;342.0;14.3;0.65;0.38;0.99;1.16;0.31833333333333336;0.35;0.62;0.11;0.55;0.4;0.1;0.61;0.46;7.1;7.35;7.493695259094237;7.25;7.69;0.6;0.2;0.0;2.5;4.9;4.8;145.53;57.46;33.59;72.98;102.38;126.86;54.5;130.85;4.772
04/02/2000;5.6;2.6;23.4;13.4;29.41111111111111;4.58;1.01;0.6;3.72;1.04;3.72;0.255;349.0;14.3;0.64;0.39;0.98;1.15;0.3344444444444445;0.33;0.62;0.11;0.55;0.39;0.1;0.61;0.46;7.24;7.47;7.737346172332764;7.38;7.9;0.0;2.0;0.2;5.4;6.1;9.4;145.48;57.48;33.56;72.96;102.37;126.9;54.48;130.85;4.779
05/02/2000;5.51;2.57;23.1;13.0;30.08888888888889;4.45;1.01;0.599;3.71;1.03;3.71;0.244;347.0;14.7;0.63;0.38;0.97;1.14;0.3505555555555556;0.32;0.62;0.11;0.55;0.39;0.1;0.61;0.47;7.44;7.69;7.953171730041504;7.63;8.13;0.0;0.0;0.0;9.2;8.8;10.6;145.44;57.46;33.51;72.93;102.37;126.95;54.5;130.87;4.863
06/02/2000;5.55;3.46;23.5;12.6;30.766666666666666;4.87;1.01;0.604;3.88;1.08;3.88;0.882;336.0;14.3;0.63;0.47;0.98;1.13;0.3666666666666667;0.35;0.62;0.11;0.56;0.4;0.24;0.61;0.46;7.67;7.98;8.211155891418457;7.97;8.28;0.0;0.0;0.0;11.0;9.7;16.4;145.4;57.39;33.48;72.91;102.35;126.99;54.5;130.9;4.944
07/02/2000;5.95;3.62;22.8;12.8;31.444444444444443;4.68;1.01;0.611;4.11;1.09;4.11;0.917;326.0;14.7;0.65;0.48;0.96;1.13;0.38277777777777783;0.34;0.62;0.11;0.58;0.4;0.25;0.61;0.46;7.86;8.07;8.373215675354004;7.92;8.913650512695312;0.0;0.0;1.2;13.8;12.8;17.8;145.37;57.34;33.47;72.93;102.37;127.04;54.53;130.93;5.026
08/02/2000;7.6;3.94;24.0;15.1;32.12222222222222;5.37;1.01;0.702;4.67;1.17;4.67;1.49;329.0;16.7;0.73;0.51;0.98;1.21;0.39888888888888896;0.39;0.62;0.12;0.61;0.4;0.33;0.61;0.51;7.89587926864624;7.840376853942871;8.278535842895508;7.979144096374513;8.867814064025879;0.0;0.0;3.2;13.7;14.9;16.4;145.35;57.3;33.44;73.0;102.4;127.08;54.53;130.95;5.122
09/02/2000;7.71;2.55;24.7;16.4;32.8;4.69;1.01;0.641;4.02;1.36;4.02;0.265;404.0;21.4;0.74;0.38;1.0;1.26;0.41500000000000004;0.34;0.62;0.12;0.57;0.42;0.11;0.61;0.63;7.79;7.95;8.217732429504395;7.874654293060303;8.643976211547853;0.0;0.0;4.8;14.1;14.5;15.4;145.33;57.37;33.7;72.99;102.41;127.13;54.53;130.91;5.02
10/02/2000;6.35;3.59;26.5;17.6;33.477777777777774;4.93;1.01;0.695;4.39;1.17;4.39;0.668;462.0;21.5;0.67;0.48;1.04;1.29;0.43111111111111117;0.36;0.62;0.12;0.6;0.4;0.2;0.61;0.63;8.0;8.27;8.15;8.04;8.58;16.6;2.8;5.0;11.2;11.5;11.4;145.28;57.37;33.62;73.01;102.41;127.18;54.51;130.9;4.969
11/02/2000;6.47;2.85;31.9;16.7;34.15555555555555;4.72;1.02;0.632;4.17;1.16;4.17;0.258;468.0;20.4;0.68;0.41;1.15;1.27;0.4472222222222223;0.34;0.62;0.11;0.58;0.4;0.11;0.61;0.6;7.75;7.87;8.1;7.78;8.45;9.2;5.8;3.8;7.2;8.4;8.4;145.28;57.43;33.55;73.01;102.42;127.22;54.51;130.91;4.903
12/02/2000;6.05;2.85;31.6;15.5;34.83333333333333;4.58;1.02;0.634;4.49;1.14;4.49;0.928;467.0;20.8;0.65;0.41;1.14;1.23;0.4633333333333334;0.33;0.62;0.11;0.6;0.4;0.25;0.61;0.61;7.45;7.5;7.83;7.39;8.23;3.8;1.6;16.2;9.3;9.2;9.5;145.24;57.43;33.48;73.0;102.42;127.27;54.51;130.91;4.925
13/02/2000;7.84;2.85;29.9;15.9;35.511111111111106;4.89;1.02;0.77;4.42;1.2;4.42;0.721;490.0;19.2;0.74;0.41;1.11;1.24;0.4794444444444445;0.36;0.62;0.13;0.6;0.41;0.21;0.61;0.57;7.32;7.46;7.78;7.33;8.11;7.0;2.2;2.6;5.8;5.2;7.4;145.23;57.37;33.44;73.06;102.44;127.31;54.53;130.96;4.922
14/02/2000;7.86;2.85;30.6;17.5;36.18888888888888;4.75;1.02;0.689;4.17;1.13;4.17;0.264;491.0;24.8;0.74;0.41;1.13;1.29;0.49555555555555564;0.34;0.62;0.12;0.58;0.4;0.11;0.61;0.7;6.94;6.98;7.41;6.82;7.7;2.4;2.4;4.2;-1.2;1.0;7.0;145.19;57.41;33.48;73.05;102.46;127.36;54.53;130.95;4.853
15/02/2000;6.49;2.85;31.8;17.9;36.86666666666667;4.76;1.02;0.654;4.29;1.09;4.29;0.431;535.0;23.8;0.67;0.41;1.15;1.3;0.5116666666666667;0.35;0.62;0.12;0.59;0.4;0.15;0.61;0.68;7.08;7.04;7.59;6.98;7.89;2.0;2.6;1.4;6.9;6.3;7.4;145.19;57.39;33.44;73.04;102.47;127.4;54.54;130.96;5.02
16/02/2000;6.82;2.94;34.4;18.2;37.544444444444444;4.72;1.05;0.682;4.35;1.15;4.35;0.547;535.0;20.7;0.69;0.42;1.2;1.31;0.5277777777777779;0.34;0.62;0.12;0.59;0.4;0.18;0.61;0.61;7.47;7.53;8.0;7.4;8.24;1.2;1.0;11.8;4.1;3.3;3.9;145.17;57.3;33.41;73.08;102.49;127.45;54.55;131.0;5.122
17/02/2000;6.62;2.89;34.7;18.7;38.22222222222222;4.8;1.05;0.661;4.29;1.14;4.29;0.995;654.0;21.7;0.68;0.41;1.21;1.33;0.543888888888889;0.35;0.62;0.12;0.59;0.4;0.26;0.61;0.63;7.61;7.61;8.23;7.55;8.62;3.6;4.8;9.0;4.6;4.4;4.4;145.17;57.3;33.47;73.08;102.5;127.49;54.55;131.02;5.032
18/02/2000;6.7;3.19;35.3;18.3;38.9;4.83;1.03;0.661;4.32;1.13;4.32;1.07;668.0;22.4;0.68;0.44;1.23;1.32;0.56;0.35;0.62;0.12;0.59;0.4;0.27;0.61;0.65;8.17;8.44;8.54;8.3;8.95;0.6;1.8;2.4;4.3;5.0;7.7;145.15;57.3;33.44;73.1;102.51;127.54;54.55;131.0;5.107
19/02/2000;6.51;2.54;37.7;18.3;40.5;4.61;1.01;0.634;4.12;1.13;4.12;0.286;666.0;23.4;0.67;0.38;1.28;1.32;0.6;0.33;0.62;0.11;0.58;0.4;0.11;0.61;0.67;8.38;8.39;8.83;8.28;9.29;0.8;0.0;1.2;5.7;6.1;5.9;145.12;57.32;33.55;73.09;102.51;127.58;54.55;131.03;5.052
20/02/2000;6.43;2.53;38.3;17.9;41.1;4.56;1.05;0.623;4.04;1.13;4.04;0.249;670.0;22.7;0.67;0.38;1.29;1.3;0.61;0.33;0.62;0.11;0.57;0.4;0.1;0.61;0.66;8.14;8.19;8.67;8.12;9.13;0.0;0.2;0.2;0.7;-0.9;2.8;145.12;57.48;33.45;73.06;102.51;127.63;54.54;130.96;4.835
21/02/2000;6.08;2.52;38.4;17.1;41.2;4.52;0.968;0.623;3.93;1.12;3.93;0.258;675.0;21.7;0.65;0.38;1.29;1.28;0.61;0.33;0.61;0.11;0.56;0.4;0.11;0.61;0.63;8.25;8.29;8.8;8.18;9.18;0.4;0.2;1.0;-0.1;2.4;2.8;145.1;57.5;33.35;73.05;102.51;127.67;54.53;130.96;4.819
22/02/2000;5.95;2.51;37.5;15.7;41.0;4.54;1.01;0.623;3.92;1.12;3.92;0.247;677.0;19.7;0.64;0.38;1.27;1.23;0.61;0.33;0.61;0.11;0.56;0.4;0.1;0.61;0.58;8.18;8.32;8.68;8.13;9.15;0.0;0.2;1.6;2.5;1.9;4.9;145.08;57.48;33.27;73.03;102.51;127.72;54.54;130.99;4.841
23/02/2000;5.94;2.5;36.0;15.0;39.9;4.51;1.01;0.623;3.91;1.12;3.91;0.271;628.0;18.5;0.64;0.37;1.24;1.21;0.58;0.32;0.61;0.11;0.56;0.4;0.11;0.61;0.55;8.06;8.08;8.67;7.99;8.99;1.2;0.8;1.0;5.9;6.2;6.7;145.1;57.46;33.22;73.01;102.51;127.76;54.54;131.02;4.822
24/02/2000;5.91;2.49;33.3;14.5;37.2;4.48;1.02;0.623;3.9;1.11;3.9;0.293;583.0;17.6;0.64;0.37;1.19;1.19;0.52;0.32;0.61;0.11;0.56;0.4;0.12;0.61;0.53;7.8;7.87;8.43;7.72;8.77;2.0;2.0;4.0;9.1;8.8;10.3;145.08;57.48;33.16;73.0;102.51;127.81;54.54;131.02;4.876
25/02/2000;6.01;3.09;30.2;14.1;34.0;4.52;1.01;0.682;4.01;1.28;4.01;0.486;558.0;16.9;0.64;0.43;1.12;1.18;0.44;0.33;0.61;0.12;0.57;0.42;0.16;0.61;0.52;7.77;7.78;8.36;7.69;8.71;0.0;0.0;0.0;5.6;4.7;6.9;145.08;57.48;33.1;73.0;102.51;127.85;54.54;131.03;4.837
26/02/2000;5.93;2.59;28.4;13.9;32.1;4.48;1.03;0.623;3.88;1.12;3.88;0.252;522.0;16.5;0.64;0.38;1.08;1.17;0.4;0.32;0.61;0.11;0.56;0.4;0.1;0.61;0.51;7.14;7.17;7.68;7.07;8.167788505554201;0.2;0.2;0.0;-0.5;-0.5;4.9;145.08;57.57;33.06;72.98;102.51;127.9;54.54;130.99;4.757
27/02/2000;5.87;2.57;26.8;13.7;30.9;4.51;1.02;0.611;3.85;1.07;3.85;0.237;517.0;16.7;0.64;0.38;1.05;1.16;0.37;0.32;0.61;0.11;0.56;0.39;0.1;0.61;0.51;6.86;6.92;7.34;6.77;7.75;0.4;1.0;0.0;4.6;6.4;9.2;145.06;57.53;32.99;72.97;102.51;127.94;54.54;131.03;4.88
28/02/2000;6.03;2.97;26.7;13.6;30.4;4.49;1.16;0.661;3.95;1.09;3.95;0.634;526.0;15.8;0.64;0.42;1.05;1.16;0.36;0.32;0.63;0.12;0.57;0.4;0.19;0.61;0.49;6.99;6.97;7.47;6.9;7.86;9.8;2.2;7.6;8.0;7.4;7.9;145.06;57.41;32.97;72.95;102.51;127.99;54.57;131.07;5.02
